Stellar Spectroscopy - BD-03 4630	
	
Date of Observation:	7/27/2010
Star Observed:	BD-03 4630
Spectral Class:	A4
	
Wavelength (A)	Intensity (Counts)
7145.2	3184.033936
7146	3102.968506
7146.8	3172.019775
7147.6	3198.665283
7148.4	3098.656738
7149.2	3133.442871
7150	3178.274414
7150.8	3160.112305
7151.6	3043.34082
7152.4	3135.037109
7153.2	3072.780518
7154	3045.728516
7154.8	3068.898682
7155.6	3093.601074
7156.4	3070.567871
7157.2	2991.269775
7158	3015.312012
7158.8	2927.044678
7159.6	2888.513428
7160.4	2861.009766
7161.2	2902.704834
7162	2834.591797
7162.8	2838.437744
7163.6	2846.689209
7164.4	2899.865967
7165.2	2854.683594
7166	2866.236328
7166.8	2856.561279
7167.6	2799.87207
7168.4	2817.174805
7169.2	2906.851807
7170	2892.93042
7170.8	2763.626465
7171.6	2906.345703
7172.4	2874.083008
7173.2	2806.904785
7174	2836.03125
7174.8	2805.049561
7175.6	2890.291504
7176.4	2807.167969
7177.2	2716.727051
7178	2707.219482
7178.8	2803.15332
7179.6	2848.842041
7180.4	2845.55542
7181.2	2760.209473
7182	2584.299561
7182.8	2757.205078
7183.6	2801.271973
7184.4	2482.515381
7185.2	2383.724365
7186	2398.598877
7186.8	2384.176025
7187.6	2318.371338
7188.4	2391.833252
7189.2	2531.749268
7190	2517.159912
7190.8	2600.05127
7191.6	2376.527588
7192.4	2391.499756
7193.2	2432.001709
7194	2427.238281
7194.8	2458.964355
7195.6	2547.910645
7196.4	2557.438477
7197.2	2544.077881
7198	2492.2854
7198.8	2495.696289
7199.6	2447.374512
7200.4	2261.216797
7201.2	2192.5625
7202	2221.433105
7202.8	2377.049805
7203.6	2359.163818
7204.4	2208.065674
7205.2	2218.887695
7206	2216.141357
7206.8	2130.790527
7207.6	2249.900146
7208.4	2305.39502
7209.2	2254.009277
7210	2234.147217
7210.8	2279.079102
