Steller Spectroscopy HD 200207	
	
Date of Observation:	7/23/2010
Star Observed:	HD 200207
Spectral Class:	G5
	
Wavelength (A)	Intensity (Counts)
7240.4	10885.93
7241.2	10261.23
7242	11894.12
7242.8	12576.11
7243.6	11350.58
7244.4	10691.46
7245.2	10881.78
7246	10834.98
7246.8	11244.86
7247.6	11647.06
7248.4	11982.43
7249.2	12135.83
7250	11684.94
7250.8	11415.14
7251.6	11247.19
7252.4	10479.07
7253.2	9837.42
7254	10132.99
7254.8	11257.3
7255.6	12198.2
7256.4	12577.06
7257.2	12452.03
7258	12007.33
7258.8	12196.87
7259.6	12608.33
7260.4	12575.42
7261.2	11370.06
7262	10495.39
7262.8	11269.99
7263.6	11980.16
7264.4	11376.78
7265.2	10653.26
7266	10415.91
7266.8	11490.61
7267.6	12459.62
7268.4	12497.59
7269.2	12344.75
7270	12064.08
7270.8	12053.04
7271.6	12298.91
7272.4	12269.87
7273.2	10993.67
7274	11459.35
7274.8	12419.35
7275.6	11628.67
7276.4	11641.04
7277.2	11217.2
7278	10557.67
7278.8	11330.92
7279.6	12092.26
7280.4	12457.94
7281.2	12707.45
7282	12436.61
7282.8	11647.08
7283.6	12128.93
7284.4	12325.79
7285.2	12406.82
7286	12746.37
7286.8	12771.86
7287.6	11612.91
7288.4	10768.94
7289.2	10555.67
7290	10876.47
7290.8	10214.06
7291.6	9879.15
7292.4	10693.19
7293.2	10398.84
7294	11451.96
7294.8	12233.67
7295.6	11975.03
7296.4	13138.64
7297.2	13859.43
7298	13636.84
7298.8	13653.33
7299.6	13293.17
7300.4	12760.29
7301.2	13072.67
7302	13360.52
7302.8	12674.21
7303.6	12084.13
7304.4	11973.38
7305.2	12647.57
7306	13402.04
7306.8	13182.06
7307.6	13089.66
7308.4	12315.02
7309.2	12446.94
7310	12681.67
7310.8	13053.46
7311.6	12300.29
7312.4	12978.69
7313.2	13126.73
7314	13403.73
7314.8	14022.32
7315.6	13680.79
7316.4	13613.31
7317.2	13222.33
7318	12951.3
7318.8	12387.95
7319.6	12952.03
7320.4	13507.57
7321.2	12911.73
